Title	Released	Label	PeakChart.UK	PeakChart.AUS	PeakChart.US	PeakChart.Mars	Certification.ARIA	Certification.BPI	Certification.BVMI	Certification.CRIA	Certification.IFPI	Certification.NVPI	Certification.RIAA	Certification.SNEP
Led Zeppelin	01/12/1969	Atlantic	6	9	10		2x Platinum	2x Platinum		Diamond	Gold	Gold	8x Platinum	Gold
Led Zeppelin II	10/22/1969	Atlantic	1	1	1		4x Platinum	4x Platinum	Platinum	9x Platinum	Gold		Diamond	Platinum
Led Zeppelin III	10/5/1970	Atlantic	1	1	1			Platinum	Gold	3x Platinum	Gold	Gold	6x Platinum	Platinum
Led Zeppelin IV	11/8/1971	Atlantic	1	2	2		9x Platinum	6x Platinum	3x Gold	2x Diamond	2x Platinum	Platinum	Diamond	2x Platinum
Houses of the Holy	03/28/1973	Atlantic	1	1	1			Platinum	Gold				Diamond	Gold
Physical Graffiti	02/24/1975	Swan Song	1	1	1		3x Platinum	2x Platinum	Gold				Diamond	Gold
Presence	03/31/1976	Swan Song	1	4	1			Platinum					3x Platinum	
In Through The Out Door	08/15/1979	Swan Song	1	3	1		2x Platinum	Platinum					6x Platinum	
Coda	11/19/1982	Swan Song	4	9	6			Silver					Platinum	
